"SKName","tDate","Institute","交易類別","金額"
"臺指選擇權PUT","2015-01-26","外資及陸資","買","133685.0"
"臺指選擇權PUT","2015-01-26","投信","買","400.0"
"臺指選擇權PUT","2015-01-26","自營商","買","107611.0"
"臺指選擇權PUT","2015-01-14","外資及陸資","賣","48404.0"
"臺指選擇權PUT","2015-01-14","投信","賣","0.0"
"臺指選擇權PUT","2015-01-14","自營商","賣","184567.0"
"臺指選擇權PUT","2015-01-15","外資及陸資","賣","50372.0"
"臺指選擇權PUT","2015-01-15","投信","賣","0.0"
"臺指選擇權PUT","2015-01-15","自營商","賣","191574.0"
"臺指選擇權PUT","2015-01-16","外資及陸資","賣","54716.0"
"臺指選擇權PUT","2015-01-16","投信","賣","0.0"
"臺指選擇權PUT","2015-01-16","自營商","賣","193426.0"
"臺指選擇權PUT","2015-01-19","外資及陸資","賣","54990.0"
"臺指選擇權PUT","2015-01-19","投信","賣","0.0"
"臺指選擇權PUT","2015-01-19","自營商","賣","194330.0"
"臺指選擇權PUT","2015-01-20","外資及陸資","賣","54644.0"
"臺指選擇權PUT","2015-01-20","投信","賣","0.0"
"臺指選擇權PUT","2015-01-20","自營商","賣","221567.0"
"臺指選擇權PUT","2015-01-21","外資及陸資","賣","33111.0"
"臺指選擇權PUT","2015-01-21","投信","賣","0.0"
"臺指選擇權PUT","2015-01-21","自營商","賣","80229.0"
"臺指選擇權PUT","2015-01-22","外資及陸資","賣","35709.0"
"臺指選擇權PUT","2015-01-22","投信","賣","0.0"
"臺指選擇權PUT","2015-01-22","自營商","賣","100945.0"
"臺指選擇權PUT","2015-01-23","外資及陸資","賣","41646.0"
"臺指選擇權PUT","2015-01-23","投信","賣","0.0"
"臺指選擇權PUT","2015-01-23","自營商","賣","122116.0"
"臺指選擇權PUT","2015-01-26","外資及陸資","賣","43833.0"
"臺指選擇權PUT","2015-01-26","投信","賣","0.0"
"臺指選擇權PUT","2015-01-26","自營商","賣","131972.0"
"臺指選擇權CALL","2015-01-14","前十大交易人","賣","73986.0"
"臺指選擇權CALL","2015-01-15","前十大交易人","賣","93370.0"
"臺指選擇權CALL","2015-01-16","前十大交易人","賣","109733.0"
"臺指選擇權CALL","2015-01-19","前十大交易人","賣","116336.0"
"臺指選擇權CALL","2015-01-20","前十大交易人","賣","112452.0"
"臺指選擇權CALL","2015-01-21","前十大交易人","賣","25774.0"
"臺指選擇權CALL","2015-01-22","前十大交易人","賣","28589.0"
"臺指選擇權CALL","2015-01-14","前十大交易特定法人","買","19068.0"
"臺指選擇權CALL","2015-01-15","前十大交易特定法人","買","15403.0"
